NOMBRE : N500E2000R100_02
(  49, 115)  coste     6.400    6.400
(  49, 213)  coste     6.600    6.600
(  53, 456)  coste     11.300    11.300
(  55, 133)  coste     3.100    3.100
(  59, 206)  coste     5.400    5.400
(  59, 424)  coste     4.800    4.800
(  63, 455)  coste     3.500    3.500
(  66, 318)  coste     7.900    7.900
(  68, 480)  coste     4.500    4.500
(  69, 106)  coste     10.800    10.800
(  69, 367)  coste     9.600    9.600
(  70, 462)  coste     10.400    10.400
(  74, 104)  coste     4.300    4.300
(  74, 330)  coste     6.700    6.700
(  75, 152)  coste     5.100    5.100
(  77, 112)  coste     9.800    9.800
(  81, 314)  coste     5.100    5.100
(  85, 348)  coste     1.700    1.700
(  89, 484)  coste     7.800    7.800
(  99, 127)  coste     3.000    3.000
(  100, 124)  coste     8.300    8.300
(  102, 118)  coste     4.300    4.300
(  102, 362)  coste     1.000    1.000
(  103, 171)  coste     9.200    9.200
(  105, 133)  coste     8.800    8.800
(  105, 230)  coste     11.000    11.000
(  109, 346)  coste     11.100    11.100
(  110, 443)  coste     6.400    6.400
(  113, 383)  coste     2.500    2.500
(  117, 288)  coste     12.700    12.700
(  119, 402)  coste     10.100    10.100
(  126, 464)  coste     3.700    3.700
(  130, 148)  coste     12.100    12.100
(  134, 427)  coste     4.100    4.100
(  136, 416)  coste     11.400    11.400
(  156, 185)  coste     3.900    3.900
(  157, 169)  coste     7.700    7.700
(  157, 255)  coste     10.700    10.700
(  157, 378)  coste     5.400    5.400
(  157, 487)  coste     4.000    4.000
(  159, 397)  coste     3.900    3.900
(  171, 195)  coste     4.600    4.600
(  174, 432)  coste     0.900    0.900
(  177, 230)  coste     6.200    6.200
(  177, 338)  coste     12.400    12.400
(  179, 198)  coste     2.700    2.700
(  179, 371)  coste     7.800    7.800
(  181, 201)  coste     11.700    11.700
(  187, 310)  coste     3.300    3.300
(  187, 384)  coste     8.500    8.500
(  200, 496)  coste     7.000    7.000
(  201, 433)  coste     7.700    7.700
(  211, 292)  coste     5.600    5.600
(  211, 481)  coste     11.600    11.600
(  217, 268)  coste     1.300    1.300
(  217, 286)  coste     7.300    7.300
(  219, 430)  coste     3.400    3.400
(  236, 417)  coste     7.800    7.800
(  237, 346)  coste     2.600    2.600
(  248, 271)  coste     13.200    13.200
(  249, 411)  coste     11.100    11.100
(  256, 339)  coste     11.400    11.400
(  260, 466)  coste     6.100    6.100
(  268, 303)  coste     9.500    9.500
(  269, 460)  coste     4.500    4.500
(  278, 292)  coste     12.200    12.200
(  280, 309)  coste     10.300    10.300
(  310, 446)  coste     5.000    5.000
(  313, 481)  coste     7.300    7.300
(  318, 425)  coste     15.000    15.000
(  320, 478)  coste     8.600    8.600
(  325, 423)  coste     8.600    8.600
(  351, 487)  coste     5.600    5.600
(  379, 493)  coste     8.700    8.700
(  381, 397)  coste     9.000    9.000
(  387, 415)  coste     3.800    3.800
(  394, 454)  coste     13.600    13.600
(  423, 476)  coste     8.200    8.200
(  450, 488)  coste     13.400    13.400
(  455, 482)  coste     8.800    8.800
(  473, 490)  coste     9.600    9.600
LISTA_ARISTAS_NOREQ :
(   1, 58)  coste     6.600    6.600
(   1, 157)  coste     9.100    9.100
(   1, 166)  coste     4.100    4.100
(   1, 184)  coste     3.300    3.300
(   1, 185)  coste     0.400    0.400
(   1, 249)  coste     5.900    5.900
(   1, 390)  coste     8.200    8.200
(   2, 53)  coste     4.100    4.100
(   2, 289)  coste     1.300    1.300
(   2, 319)  coste     7.000    7.000
(   2, 327)  coste     10.100    10.100
(   2, 349)  coste     4.500    4.500
(   2, 379)  coste     7.400    7.400
(   3, 49)  coste     9.600    9.600
(   3, 214)  coste     11.800    11.800
(   3, 229)  coste     5.100    5.100
(   3, 251)  coste     11.400    11.400
(   3, 281)  coste     10.200    10.200
(   3, 339)  coste     9.600    9.600
(   3, 402)  coste     6.000    6.000
(   3, 465)  coste     12.300    12.300
(   4, 35)  coste     8.300    8.300
(   4, 71)  coste     8.300    8.300
(   4, 171)  coste     3.700    3.700
(   4, 178)  coste     2.400    2.400
(   4, 187)  coste     5.400    5.400
(   4, 286)  coste     7.700    7.700
(   4, 345)  coste     7.400    7.400
(   4, 369)  coste     8.300    8.300
(   4, 408)  coste     11.500    11.500
(   4, 472)  coste     8.800    8.800
(   5, 124)  coste     3.200    3.200
(   5, 158)  coste     4.100    4.100
(   5, 248)  coste     6.500    6.500
(   5, 290)  coste     2.900    2.900
(   5, 345)  coste     4.400    4.400
(   5, 489)  coste     8.200    8.200
(   6, 107)  coste     4.200    4.200
(   6, 153)  coste     16.700    16.700
(   6, 253)  coste     15.000    15.000
(   6, 327)  coste     1.300    1.300
(   6, 353)  coste     12.400    12.400
(   7, 31)  coste     4.500    4.500
(   7, 51)  coste     9.100    9.100
(   7, 65)  coste     9.900    9.900
(   7, 124)  coste     9.300    9.300
(   7, 128)  coste     2.800    2.800
(   7, 137)  coste     4.600    4.600
(   7, 215)  coste     1.500    1.500
(   7, 249)  coste     10.400    10.400
(   7, 312)  coste     3.300    3.300
(   8, 70)  coste     6.500    6.500
(   8, 87)  coste     12.800    12.800
(   8, 147)  coste     5.700    5.700
(   8, 200)  coste     7.800    7.800
(   8, 325)  coste     7.200    7.200
(   8, 336)  coste     9.800    9.800
(   8, 347)  coste     7.900    7.900
(   8, 350)  coste     3.400    3.400
(   8, 365)  coste     6.500    6.500
(   8, 437)  coste     7.300    7.300
(   9, 81)  coste     7.700    7.700
(   9, 97)  coste     10.900    10.900
(   9, 105)  coste     8.500    8.500
(   9, 164)  coste     10.500    10.500
(   9, 188)  coste     6.300    6.300
(   9, 221)  coste     3.400    3.400
(   9, 313)  coste     7.800    7.800
(   9, 468)  coste     7.800    7.800
(  10, 83)  coste     6.300    6.300
(  10, 134)  coste     8.700    8.700
(  10, 191)  coste     9.100    9.100
(  10, 233)  coste     9.300    9.300
(  10, 290)  coste     7.800    7.800
(  10, 426)  coste     10.400    10.400
(  10, 489)  coste     7.500    7.500
(  10, 494)  coste     11.500    11.500
(  11, 26)  coste     5.600    5.600
(  11, 132)  coste     8.700    8.700
(  11, 133)  coste     11.600    11.600
(  11, 175)  coste     12.400    12.400
(  11, 258)  coste     5.700    5.700
(  11, 300)  coste     7.600    7.600
(  11, 390)  coste     8.400    8.400
(  12, 41)  coste     6.900    6.900
(  12, 110)  coste     7.600    7.600
(  12, 114)  coste     12.900    12.900
(  12, 173)  coste     8.100    8.100
(  12, 213)  coste     2.200    2.200
(  12, 350)  coste     2.300    2.300
(  12, 409)  coste     4.700    4.700
(  12, 417)  coste     6.600    6.600
(  12, 440)  coste     11.200    11.200
(  12, 497)  coste     5.100    5.100
(  13, 37)  coste     13.400    13.400
(  13, 62)  coste     11.800    11.800
(  13, 86)  coste     6.800    6.800
(  13, 149)  coste     8.900    8.900
(  13, 204)  coste     9.200    9.200
(  13, 230)  coste     12.100    12.100
(  13, 329)  coste     9.600    9.600
(  13, 381)  coste     14.300    14.300
(  13, 404)  coste     7.800    7.800
(  13, 448)  coste     11.000    11.000
(  13, 458)  coste     11.200    11.200
(  14, 37)  coste     5.300    5.300
(  14, 62)  coste     8.900    8.900
(  14, 95)  coste     8.300    8.300
(  14, 113)  coste     7.800    7.800
(  14, 156)  coste     5.300    5.300
(  14, 181)  coste     7.600    7.600
(  14, 190)  coste     1.300    1.300
(  14, 291)  coste     12.000    12.000
(  14, 308)  coste     8.500    8.500
(  14, 387)  coste     3.900    3.900
(  15, 51)  coste     9.300    9.300
(  15, 82)  coste     6.600    6.600
(  15, 362)  coste     11.700    11.700
(  15, 380)  coste     6.600    6.600
(  15, 435)  coste     15.100    15.100
(  15, 453)  coste     8.700    8.700
(  15, 491)  coste     6.700    6.700
(  15, 499)  coste     2.100    2.100
(  16, 72)  coste     7.100    7.100
(  16, 83)  coste     14.700    14.700
(  16, 84)  coste     3.400    3.400
(  16, 96)  coste     6.900    6.900
(  16, 131)  coste     0.800    0.800
(  16, 132)  coste     5.400    5.400
(  16, 159)  coste     11.600    11.600
(  16, 160)  coste     10.300    10.300
(  16, 201)  coste     9.400    9.400
(  16, 405)  coste     11.400    11.400
(  17, 123)  coste     2.300    2.300
(  17, 269)  coste     6.100    6.100
(  17, 280)  coste     2.300    2.300
(  17, 331)  coste     3.500    3.500
(  17, 423)  coste     3.300    3.300
(  17, 480)  coste     6.500    6.500
(  18, 109)  coste     2.800    2.800
(  18, 208)  coste     10.800    10.800
(  18, 210)  coste     2.000    2.000
(  18, 343)  coste     6.300    6.300
(  18, 377)  coste     9.700    9.700
(  18, 388)  coste     10.400    10.400
(  18, 477)  coste     11.600    11.600
(  19, 43)  coste     2.500    2.500
(  19, 90)  coste     8.400    8.400
(  19, 184)  coste     4.700    4.700
(  19, 189)  coste     11.000    11.000
(  19, 251)  coste     8.800    8.800
(  19, 283)  coste     13.600    13.600
(  19, 396)  coste     6.400    6.400
(  19, 484)  coste     1.600    1.600
(  20, 43)  coste     5.200    5.200
(  20, 56)  coste     4.300    4.300
(  20, 111)  coste     2.300    2.300
(  20, 158)  coste     4.400    4.400
(  20, 208)  coste     7.200    7.200
(  20, 340)  coste     4.900    4.900
(  20, 480)  coste     3.000    3.000
(  21, 23)  coste     4.500    4.500
(  21, 79)  coste     7.600    7.600
(  21, 94)  coste     7.900    7.900
(  21, 137)  coste     8.900    8.900
(  21, 223)  coste     13.600    13.600
(  21, 315)  coste     10.800    10.800
(  21, 399)  coste     1.700    1.700
(  22, 42)  coste     8.900    8.900
(  22, 82)  coste     6.300    6.300
(  22, 124)  coste     9.200    9.200
(  22, 143)  coste     6.800    6.800
(  22, 202)  coste     6.500    6.500
(  22, 241)  coste     3.800    3.800
(  22, 246)  coste     8.400    8.400
(  22, 410)  coste     11.700    11.700
(  22, 416)  coste     10.800    10.800
(  22, 460)  coste     5.200    5.200
(  22, 500)  coste     7.200    7.200
(  23, 127)  coste     10.200    10.200
(  23, 160)  coste     7.900    7.900
(  23, 226)  coste     8.400    8.400
(  23, 233)  coste     14.900    14.900
(  23, 261)  coste     9.000    9.000
(  23, 354)  coste     5.700    5.700
(  23, 383)  coste     6.800    6.800
(  23, 389)  coste     9.100    9.100
(  24, 59)  coste     5.500    5.500
(  24, 62)  coste     5.400    5.400
(  24, 119)  coste     3.400    3.400
(  24, 240)  coste     13.300    13.300
(  24, 242)  coste     7.000    7.000
(  25, 32)  coste     7.200    7.200
(  25, 102)  coste     3.200    3.200
(  25, 138)  coste     8.400    8.400
(  25, 142)  coste     15.100    15.100
(  25, 277)  coste     4.200    4.200
(  25, 287)  coste     15.100    15.100
(  25, 319)  coste     12.900    12.900
(  25, 383)  coste     10.100    10.100
(  26, 110)  coste     9.800    9.800
(  26, 382)  coste     7.900    7.900
(  26, 402)  coste     8.600    8.600
(  27, 56)  coste     12.200    12.200
(  27, 139)  coste     8.500    8.500
(  27, 252)  coste     10.200    10.200
(  27, 291)  coste     11.200    11.200
(  27, 348)  coste     3.100    3.100
(  27, 377)  coste     0.400    0.400
(  27, 411)  coste     3.000    3.000
(  27, 485)  coste     6.000    6.000
(  28, 44)  coste     5.200    5.200
(  28, 139)  coste     7.200    7.200
(  28, 347)  coste     5.100    5.100
(  28, 394)  coste     12.200    12.200
(  28, 441)  coste     3.200    3.200
(  29, 88)  coste     8.700    8.700
(  29, 141)  coste     2.900    2.900
(  29, 181)  coste     4.000    4.000
(  29, 269)  coste     3.700    3.700
(  29, 287)  coste     8.700    8.700
(  29, 444)  coste     6.900    6.900
(  29, 486)  coste     4.500    4.500
(  29, 488)  coste     9.200    9.200
(  30, 37)  coste     6.700    6.700
(  30, 54)  coste     6.900    6.900
(  30, 101)  coste     7.800    7.800
(  30, 254)  coste     10.100    10.100
(  30, 261)  coste     6.100    6.100
(  30, 287)  coste     7.300    7.300
(  30, 307)  coste     8.100    8.100
(  30, 341)  coste     4.100    4.100
(  30, 384)  coste     3.700    3.700
(  30, 464)  coste     5.000    5.000
(  30, 488)  coste     13.000    13.000
(  31, 60)  coste     5.100    5.100
(  31, 109)  coste     9.300    9.300
(  31, 137)  coste     0.900    0.900
(  31, 258)  coste     6.100    6.100
(  31, 259)  coste     10.400    10.400
(  31, 353)  coste     7.100    7.100
(  31, 406)  coste     6.800    6.800
(  31, 486)  coste     1.500    1.500
(  32, 116)  coste     2.300    2.300
(  32, 208)  coste     6.900    6.900
(  32, 429)  coste     3.600    3.600
(  33, 111)  coste     7.300    7.300
(  33, 132)  coste     9.800    9.800
(  33, 149)  coste     0.900    0.900
(  33, 217)  coste     6.900    6.900
(  33, 265)  coste     3.900    3.900
(  34, 180)  coste     7.300    7.300
(  34, 213)  coste     8.100    8.100
(  34, 225)  coste     6.800    6.800
(  34, 231)  coste     6.800    6.800
(  34, 354)  coste     6.700    6.700
(  34, 374)  coste     11.100    11.100
(  34, 398)  coste     2.900    2.900
(  34, 439)  coste     7.700    7.700
(  35, 351)  coste     5.400    5.400
(  35, 379)  coste     8.600    8.600
(  35, 387)  coste     11.000    11.000
(  35, 388)  coste     9.400    9.400
(  36, 67)  coste     10.100    10.100
(  36, 156)  coste     6.200    6.200
(  36, 248)  coste     7.000    7.000
(  36, 456)  coste     4.000    4.000
(  36, 479)  coste     6.400    6.400
(  37, 99)  coste     11.600    11.600
(  37, 117)  coste     2.100    2.100
(  37, 143)  coste     3.900    3.900
(  37, 213)  coste     8.500    8.500
(  37, 223)  coste     13.500    13.500
(  37, 242)  coste     5.000    5.000
(  37, 306)  coste     7.600    7.600
(  37, 332)  coste     2.000    2.000
(  37, 441)  coste     6.800    6.800
(  37, 480)  coste     8.400    8.400
(  38, 102)  coste     10.500    10.500
(  38, 124)  coste     10.500    10.500
(  38, 159)  coste     6.400    6.400
(  38, 171)  coste     6.400    6.400
(  38, 323)  coste     4.900    4.900
(  38, 327)  coste     2.500    2.500
(  38, 349)  coste     4.500    4.500
(  38, 354)  coste     3.300    3.300
(  38, 361)  coste     2.200    2.200
(  38, 370)  coste     3.500    3.500
(  38, 383)  coste     4.000    4.000
(  39, 41)  coste     2.400    2.400
(  39, 49)  coste     1.900    1.900
(  39, 116)  coste     4.000    4.000
(  39, 193)  coste     1.700    1.700
(  39, 204)  coste     5.000    5.000
(  39, 213)  coste     5.700    5.700
(  39, 362)  coste     6.100    6.100
(  39, 368)  coste     9.300    9.300
(  39, 420)  coste     8.900    8.900
(  39, 454)  coste     3.000    3.000
(  39, 460)  coste     2.100    2.100
(  39, 464)  coste     3.500    3.500
(  40, 70)  coste     8.800    8.800
(  40, 71)  coste     11.900    11.900
(  40, 153)  coste     6.400    6.400
(  40, 222)  coste     5.700    5.700
(  40, 362)  coste     2.400    2.400
(  40, 367)  coste     5.700    5.700
(  40, 380)  coste     8.700    8.700
(  40, 427)  coste     3.500    3.500
(  41, 149)  coste     6.100    6.100
(  41, 194)  coste     2.300    2.300
(  41, 214)  coste     1.700    1.700
(  41, 282)  coste     5.700    5.700
(  41, 332)  coste     11.600    11.600
(  41, 376)  coste     5.700    5.700
(  41, 395)  coste     5.400    5.400
(  41, 421)  coste     8.200    8.200
(  42, 54)  coste     11.600    11.600
(  42, 227)  coste     5.100    5.100
(  42, 295)  coste     6.900    6.900
(  42, 337)  coste     1.600    1.600
(  42, 399)  coste     6.200    6.200
(  42, 433)  coste     5.500    5.500
(  42, 493)  coste     9.300    9.300
(  43, 149)  coste     8.900    8.900
(  43, 168)  coste     9.100    9.100
(  43, 199)  coste     8.300    8.300
(  43, 392)  coste     1.200    1.200
(  44, 75)  coste     1.900    1.900
(  44, 157)  coste     6.800    6.800
(  44, 307)  coste     12.200    12.200
(  44, 315)  coste     3.300    3.300
(  44, 432)  coste     7.500    7.500
(  44, 458)  coste     8.600    8.600
(  45, 77)  coste     9.300    9.300
(  45, 213)  coste     8.900    8.900
(  45, 472)  coste     3.500    3.500
(  46, 63)  coste     6.600    6.600
(  46, 175)  coste     5.100    5.100
(  46, 232)  coste     4.200    4.200
(  46, 293)  coste     5.500    5.500
(  46, 352)  coste     3.100    3.100
(  46, 357)  coste     4.900    4.900
(  46, 364)  coste     7.500    7.500
(  47, 100)  coste     7.600    7.600
(  47, 156)  coste     1.400    1.400
(  47, 257)  coste     5.100    5.100
(  47, 301)  coste     2.000    2.000
(  47, 303)  coste     3.500    3.500
(  47, 369)  coste     11.000    11.000
(  48, 91)  coste     3.100    3.100
(  48, 94)  coste     2.000    2.000
(  48, 216)  coste     4.900    4.900
(  48, 264)  coste     5.300    5.300
(  48, 496)  coste     5.600    5.600
(  49, 158)  coste     8.100    8.100
(  49, 177)  coste     11.800    11.800
(  49, 191)  coste     8.600    8.600
(  49, 248)  coste     10.700    10.700
(  49, 271)  coste     2.500    2.500
(  49, 298)  coste     3.100    3.100
(  49, 406)  coste     6.200    6.200
(  49, 491)  coste     8.800    8.800
(  50, 247)  coste     3.700    3.700
(  50, 346)  coste     10.700    10.700
(  50, 356)  coste     4.600    4.600
